المفرد,النوع,الجمع,الأمثلة
فُعَّال,اسم,فَعاعِيل,دُكَّان دَكاكِين، كُلَّاب كَلالِيب، خُفَّاش خَفافِيش، قُفَّاز قَفافِيز، خُطَّاف خَطاطِيف، عُكَّاز عَكاكِيز ...
فُعَّال,صفة,فَعاعِيل,‏(سماعي): عُوّار عَواوِير ...
فُعَّال,اسم,فَعالِيّ,‏(سماعي): مُكّاء مَكاكِيّ ...
فِعال,اسم,أَفاعِل,‏(سماعي): سِوار أَساوِر، سِقاء أَساقٍ ...
فِعال,اسم,أَفاعِلة,‏(سماعي): سِوار أَساوِرة ...
فِعال,اسم,أَفْعال,‏(سماعي): قِماط أَقْماط ...
فِعال,اسم,أَفْعُل,المؤنث المعنوي: لِسان أَلْسُن، ذِراع أَذْرُع، شِمال أَشْمُل، سِلاح أَسْلُح ... وشذ: عِنان أَعُنّ، طِحال أَطْحُل، شِهاب أَشْهُب ...
فِعال,اسم,أَفْعِلة,المذكر: رِباط أَرْبِطة، هِلال أَهِلَّة، سِقاء أَسْقِية، كِساء أَكْسِية، حِمار أَحْمِرة، رِداء أَرْدِية، فِناء أَفْنِية ...
فِعال,اسم,فَعائِل,المؤنث المعنوي: شِمال شَمائِل ... وشذ: ذِناب ذَنائِب، وِشاح وَشائِح ...
فِعال,صفة,فَعائِل,هِجان هَجائِن، شِناط شَنائِط ...
فِعال,صفة,فِعال,‏(سماعي): هِجان هِجان، كِناز كِناز، دِلاص دِلاص ...
فِعال,اسم,فُعُل,المذكر والمؤنث المعنوي غير المضعف وغير المعتل اللام: إزار أُزُر، كِتاب كُتُب، حِمار حُمُر، خِمار خُمُر ... وشذ: عِنان عُنُن، حِجاج حُجُج ...
فِعال,صفة,فُعُل,‏(سماعي): دِلاث دُلُث، لِكاك لُكُك، كِناز كُنُز، هِجان هُجُن ...
فِعال,اسم,فُعَّل,‏(سماعي): غِلاف غُلَّف ...
فِعال,اسم,فُعْل,‏(سماعي): حِصان حُصْن، لِسان لُسْن، خِوان خُون، رِواق رُوق، سِوار سُور، سِواك سُوك ...
فِعال,اسم,فُعْلان,‏(سماعي): جِدار جُدْران، شِهاب شُهْبان، ذِراع ذُرْعان ...
فِعال,اسم,فِعْلان,‏(سماعي): شِهاب شِهْبان، صِوار صِيران ...
فِعال,اسم,فُعُول,‏(سماعي): حِمار حُمُور، شِتاء شُتِيّ، فِناء فُنِيّ ...
فِعال,اسم,فَعِيل,‏(سماعي): حِمار حَمِير ...
فِعّال,اسم,فُعْلان,‏(سماعي): حِنّاء حُنْئان ...
فَعالة,اسم,فَعائِل,سَحابة سَحائِب، حَمامة حَمائِم، دَجاجة دَجائِج، شَهادة شَهائِد، عَلاقة عَلائِق، كَرامة كَرائِم ...
فَعالة,اسم,فَعال,اسم الجنس الجمعي: حَمامة حَمام، نَعامة نَعام ...
فَعالة,اسم,فَعالِيّ,‏(سماعي): زَرافة زَرافِيّ ...
فُعالة,اسم,فَعائِل,ذُبالة ذَبائِل، ذُبابة ذَبائِب، قُلامة قَلائِم، حُثالة حَثائِل ...
فُعالة,صفة,فَعائِل,غير المعتل والمضعف: شُجاعة شَجائِع ...
فُعالة,اسم,فُعال,اسم الجنس الجمعي: ذُبابة ذُباب، مُرارة مُرار ...
فُعالة,صفة,فِعال,‏(سماعي): شُجاعة شِجاع، طُوالة طِوال، خُفافة خِفاف ...
فُعالة,صفة,فُعُل,‏(سماعي): شُجاعة شُجُع ...
فُعَّالة,اسم,فَعاعِيل,عُكَّازة عَكاكِيز، كُنَّاشة كَنانِيش ...
فِعالة,اسم,فَعائِل,رِسالة رَسائِل، عِمامة عَمائِم، دِعامة دَعائِم ...
فِعالة,اسم,فِعال,‏(سماعي): دِجاجة دِجاج، عِمامة عِمام ...
فِعالة,اسم,فَعالَى,‏(سماعي): إداوة أَداوَى، هِراوة هَراوَى ...
فُعالَى,اسم,فَعائِل,حُبارَى حَبائِر ...
فَعالِيَة,صفة,فَعالِيّ,‏(سماعي): سَخاوِيَة سَخاوِيّ ...
فَعَل,اسم,أَفاعِل,‏(سماعي): غَنَم أَغانِم، جَمَل أَجامِل ...
فَعَل,اسم,أَفْعال,وَلَد أَوْلاد، عَدَد أَعْداد، ضَرَر أَضْرار، طَلَل أَطْلال، حَجَر أَحْجار، زَمَن أَزْمان، وَثَن أَوْثان، أَدَب آداب، باب أَبْواب، مال أَمْوال، حال أَحْوال ...
فَعَل,صفة,أَفْعال,‏(سماعي): بَطَل أَبْطال، خَلَق أَخْلاق ...
فَعَل,اسم,أَفْعُل,‏(سماعي): جَبَل أَجْبُل، عَصًا أَعْصٍ، حَجَر أَحْجُر، ثَمَن أَثْمُن، رَسَن أَرْسُن، قَفًا أَقْفٍ، قاع أَقْوُع، صاع أَصْوُع، ناب أَنْيُب، أَسَد آسُد، دار أَدْوُر، عَرَب أَعْرُب ...
فَعَل,اسم,أَفْعِلة,‏(سماعي، وقيل قياسي في المعتل اللام): نَدا أَنْدِية، خال أَخْوِلة، حال أَحْوِلة، باب أَبْوِبة، قَدَح أَقْدِحة، دار أَدْوِرة ...
فَعَل,اسم,فُعّال,‏(سماعي): سَلَف سُلاّف ...
فَعَل,اسم,فِعال,الصحيح اللام غير المضعف: جَبَل جِبال، جَمَل جِمال، حَجَر حِجار، وَجَع وِجاع ...
فَعَل,صفة,فِعال,‏(سماعي): حَسَن حِسان ...
فَعَل,اسم,فِعالة,‏(سماعي): حَجَر حِجارة، جَمَل جِمالة، دار دِيارة ...
فَعَل,صفة,فِعالة,‏(سماعي): ذَكَر ذِكارة ...
فَعَل,صفة,فُعالَى,‏(سماعي): قَزَم قُزامَى ...
فَعَل,اسم,فُعُل,‏(سماعي): عَسَل عُسُل، فَلَك فُلُك، نَهَر نُهُر، خَشَب خُشُب ...
فَعَل,صفة,فُعُل,‏(سماعي): نَصَف نُصُف ...
فَعَل,اسم,فُعْل,‏(سماعي، وقيل قياسي في الصحيح العين): أَسَد أُسْد، وَلَد وُلْد، فَلَك فُلْك، عَسَل عُسْل، وَثَن وُثْن، خَشَب خُشْب، جَمَل جُمْل، ساق سُوق، صاع صُوع، نار نُور، دار دُور، دَجَن دُجْن ...
